What'd I Say,Ray Charles
I'm Moving on,Ray Charles
Georgia on My mind,Ray Charles
I Can't Stop Loving You,Ray Charles
I've got a Woman,Ray Charles
Hallelujah I love Her so,Ray Charles
You Send Me,Sam Cooke
Wonderful World,Sam Cooke
Good Times,Sam Cooke
Shake,Sam Cooke
A Change is Gonna Come,Sam Cooke
The Twist,Chubby Checkers/ Sam Cooke
The Loco-Motion,Little Eva/ Sam Cooke
Be my Baby,Ronettes/ Phil Spector
Uptown,Crystals/ Phil Spector
You've Lost that Lovin' Feelin',Righteous Brothers/ Phil Spector
Calender Girl,Neil Sedaka/Brill Building
Breaking up is Hard to do,Neil Sedaka/ Brill Building
It's too Late,Carole King/ Brill Building
I Feel the earth move,Carole King/ Brill Building
Sweet Carloline,Neil Diamond/ Brill Building
Love on the Rocks,Neil Diamond/ Brill Building
Please Mr. Postman,Marvelettes/ Motown
My Gril,Temptations/ Motown
You Can't Hurry Love,Supremes/ Motown
I Want You Back,Jackson 5/ Motown
ABC,Jackson 5/Motown
Surfin' Safari,Beach Boys
Surfin USA,Beach Boys
Shut Down,Beach Boys
Surfer Girl,Beach Boys
Fun Fun FUn,Beach Boys
I get Around,Beach Boys
The Warmth of the Sun,Beach Boys
Please Please Me,Beatles
A hard days Night,Beatles
Yesterday,Beatles
Eleanor Rigby,Beatles
A day in the Life,Beatles
Satisfaction,Rolling Stones
Good Vibrations,Beach Boys
Blowing in the Wind,Bob Dylan
Like a Rolling Stone,Bob Dylan
The Times They Are A-Changing,Bob Dylan
Mr. Tambourine Man,Byrds
If I Had a Hammer,Peter, Paul, and Mary
The night they Drove Old Dixie Down,Joan Baez
Sgt Pepper's Lonely Hearts Club Band,Beatles
Lucy In the Sky with Diamonds,Beatles
When I'm sixty-four,Beatles
She's A rainbow,Rolling Stones
Honky Tonk Woman,Rolling Stones
Street Fighting Man,Rolling Stones
Sympathy for the Devil,Rolling Stones
Brown Sugar,Rolling Stones
Somebody to Love,Jefferson Airplane
White Rabbit,Jefferson Airplane
Piece of My Heart,Big Brother and the Holding Company
Summertime,Big Brother and the Holding Company
Born Cross-eyed,Grateful Dead
Casey Jones,Grateful Dead
Touch of Grey,Grateful Dead
Light My fire,The Doors
Turn Turn Turn,Byrds
Happy Together,Tyrtles
For What It's Worth,Buffalo Springfield
Judy Blue Eyes,Crosby, Stills, Nash
Please Please Please,James Brown
Papas got a brand New Bag,James Brown
Say It Loud and Proud,James Brown
I never Loved A man the way I loved you,Aretha Franklin
Respect,Aretha Franklin
Think,Aretha Franklin
You Make Me Feel Like A Natural Woman,Aretha Franklin
Dance to the music,Sly and The Family Stone
Thank you,Sly and the Family Stone
Black Magic Woman,Santana
Oye Como Va,Santana
Evil Ways,Santana
Jingo,Sanatana
Purple Haze,Jimi Hendrix
Love or Confusion,Jimi Hendrix
Star Spangled Banner,Jimi Hendrix
I Shot the Sheriff,Eric Clapton
Wonderful Tonight,Eric Clapton
Crossroads,Eric Clapton
Cross Road Blues,Robert Johnson/ Eric Clapton
